SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME
22023,203999,0022301193,"APR 14, 2024",DEN @ MEM,W,31,7,11,0.636,0,0,0.0,1,2,0.5,4,11,15,5,4,0,4,1,15,19,1,Nikola Jokic
22023,203999,0022301180,"APR 12, 2024",DEN @ SAS,L,39,9,13,0.692,1,2,0.5,3,3,1.0,2,5,7,12,2,1,3,5,22,-1,1,Nikola Jokic
22023,203999,0022301164,"APR 10, 2024",DEN vs. MIN,W,38,16,20,0.8,2,2,1.0,7,12,0.583,2,9,11,7,3,0,2,5,41,6,1,Nikola Jokic
22023,203999,0022301154,"APR 09, 2024",DEN @ UTA,W,34,12,20,0.6,2,2,1.0,2,2,1.0,5,8,13,7,3,1,5,2,28,23,1,Nikola Jokic
22023,203999,0022301130,"APR 06, 2024",DEN vs. ATL,W,31,6,13,0.462,2,3,0.667,5,6,0.833,1,13,14,11,2,0,4,1,19,19,1,Nikola Jokic
22023,203999,0022301114,"APR 04, 2024",DEN @ LAC,L,40,14,24,0.583,3,8,0.375,5,6,0.833,1,16,17,10,0,0,5,2,36,12,1,Nikola Jokic
22023,203999,0022301099,"APR 02, 2024",DEN vs. SAS,W,38,18,32,0.563,1,6,0.167,5,6,0.833,4,12,16,6,1,2,4,2,42,5,1,Nikola Jokic
22023,203999,0022301077,"MAR 31, 2024",DEN vs. CLE,W,35,11,18,0.611,1,2,0.5,3,5,0.6,4,14,18,16,1,0,3,2,26,37,1,Nikola Jokic
22023,203999,0022301071,"MAR 29, 2024",DEN vs. MIN,L,37,11,24,0.458,0,3,0.0,10,13,0.769,1,9,10,5,2,1,4,2,32,-9,1,Nikola Jokic
22023,203999,0022301059,"MAR 27, 2024",DEN vs. PHX,L,42,9,16,0.563,1,5,0.2,3,3,1.0,0,9,9,10,2,1,1,2,22,2,1,Nikola Jokic
22023,203999,0022301040,"MAR 25, 2024",DEN vs. MEM,W,31,11,18,0.611,1,2,0.5,6,7,0.857,5,6,11,8,3,1,4,4,29,13,1,Nikola Jokic
22023,203999,0022301009,"MAR 21, 2024",DEN vs. NYK,W,39,12,23,0.522,0,1,0.0,6,7,0.857,2,12,14,11,1,0,1,1,30,30,1,Nikola Jokic
22023,203999,0022300995,"MAR 19, 2024",DEN @ MIN,W,38,14,22,0.636,3,4,0.75,4,6,0.667,1,15,16,2,0,0,3,3,35,8,1,Nikola Jokic
22023,203999,0022300978,"MAR 17, 2024",DEN @ DAL,L,39,6,16,0.375,0,2,0.0,4,5,0.8,3,8,11,7,2,0,3,1,16,10,1,Nikola Jokic
22023,203999,0022300965,"MAR 15, 2024",DEN @ SAS,W,31,13,19,0.684,1,3,0.333,4,4,1.0,1,6,7,5,0,2,3,1,31,7,1,Nikola Jokic
22023,203999,0022300949,"MAR 13, 2024",DEN @ MIA,W,38,5,8,0.625,0,0,0.0,2,3,0.667,3,11,14,6,1,0,4,1,12,10,1,Nikola Jokic
22023,203999,0022300937,"MAR 11, 2024",DEN vs. TOR,W,38,14,26,0.538,1,3,0.333,6,6,1.0,6,11,17,12,6,2,2,3,35,13,1,Nikola Jokic
22023,203999,0022300922,"MAR 09, 2024",DEN vs. UTA,W,32,12,14,0.857,0,0,0.0,2,2,1.0,2,4,6,8,1,2,3,1,26,6,1,Nikola Jokic
